000000000000001c  psb
000000000000002c  cbr        8
0000000000000030  psbend
000000000000003c  cbr        8
0000000000000041  mode.exec  cs.l
0000000000000043  tip.pge    3: 00007ffdb265f7e4
000000000000004c  tip        2: ????????af2983d3
0000000000000051  tnt.8      .!.
0000000000000053  tip        3: 000000005cb771c1
000000000000005c  tnt.8      !.
000000000000005d  tip        2: ????????5cdc6924
0000000000000063  tip        3: 00007ffdaf9c57e0
000000000000006c  tip        2: ????????af27a390
0000000000000071  tnt.8      !
0000000000000074  tip        2: ????????af9c6ba0
000000000000007c  tip        2: ????????af27c8b0
0000000000000081  tnt.8      ..!!
0000000000000084  tip        2: ????????af9c58a0
000000000000008c  tip        2: ????????b2619840
0000000000000091  tnt.8      .!.!..
0000000000000092  tnt.8      !!!!!.
0000000000000093  tnt.8      !
0000000000000094  tip        2: ????????af9c5260
0000000000000099  tnt.8      !
000000000000009b  tip        3: 000000005cdc6924
00000000000000ab  tip        3: 00007ffdaf9c57e0
00000000000000b4  tip        2: ????????af27a390
00000000000000b9  tnt.8      !
00000000000000bc  tip        2: ????????af9c6ba0
00000000000000c4  tip        2: ????????af27c8b0
00000000000000c9  tnt.8      ..!!
00000000000000cc  tip        2: ????????af9c58a0
00000000000000d4  tip        2: ????????b2619840
00000000000000d9  tnt.8      .!.!..
00000000000000da  tnt.8      !!!!!!
00000000000000db  tnt.8      !.!
00000000000000e3  tip        3: 000000005cb2c7b9
00000000000000ec  tip        2: ????????5cb92958
00000000000000f1  tnt.8      ..
00000000000000f4  tip        2: ????????5cb45d50
00000000000000f9  tnt.8      ..!...
00000000000000fa  tnt.8      !!.!..
00000000000000fb  tnt.8      ...!!.
00000000000000fc  tnt.8      !.
00000000000000fd  tip        2: ????????5cb8fe3b
0000000000000102  tnt.8      !!!!.
0000000000000104  tip        1: ????????????c9b6
0000000000000107  tnt.8      !!..
0000000000000108  tip        1: ????????????eed5
000000000000010b  tnt.8      ..
000000000000010c  tip        2: ????????5cb03550
0000000000000111  tnt.8      !.!!!.
0000000000000112  tnt.8      !!..
0000000000000114  tip        2: ????????5cb8f518
0000000000000119  tnt.8      !.
000000000000011c  tip        2: ????????5cb2f610
0000000000000121  tnt.8      !!....
0000000000000122  tnt.8      .!!!..
0000000000000123  tnt.8      !...!.
0000000000000124  tnt.8      !
0000000000000125  tip        2: ????????5cb03550
000000000000012a  tnt.8      !.!!.!
000000000000012b  tnt.8      .!!!!!
000000000000012c  tnt.8      !!!..
000000000000012d  tip        2: ????????5cb8c972
0000000000000132  tnt.8      .!..
0000000000000134  tip        1: ????????????f518
0000000000000137  tnt.8      !.
000000000000013c  tip        2: ????????5cb2f610
0000000000000141  tnt.8      !!....
0000000000000142  tnt.8      .!!!..
0000000000000143  tnt.8      !...!.
0000000000000144  tnt.8      !
0000000000000145  tip        2: ????????5cb03550
000000000000014a  tnt.8      !.!!.!
000000000000014b  tnt.8      .!!!!!
000000000000014c  tnt.8      !!!..
000000000000014d  tip        2: ????????5cb8fe24
0000000000000152  tnt.8      ..!!!.
0000000000000153  tnt.8      ..
0000000000000154  tip        2: ????????5cdde580
0000000000000159  tnt.8      .!..!!
000000000000015a  tnt.8      !!!!..
000000000000015b  tnt.8      !!.
000000000000015c  tip        2: ????????5cb2c79b
0000000000000161  tnt.8      !
0000000000000164  tip        2: ????????5cb770d0
0000000000000169  tnt.8      ......
000000000000016a  tnt.8      !
000000000000016c  tip        2: ????????5cddeda4
0000000000000171  tnt.8      .!....
0000000000000172  tnt.8      .!!!!.
0000000000000173  tnt.8      ..!!.
0000000000000174  tip        2: ????????5cba86dc
0000000000000179  tnt.8      ..!!.!
000000000000017a  tnt.8      .!..
000000000000017c  tip        2: ????????5cb761c0
0000000000000181  tnt.8      !..!!.
0000000000000182  tnt.8      .!!!!.
0000000000000183  tnt.8      !..!!!
0000000000000184  tnt.8      .!!!!.
0000000000000185  tnt.8      !.!.!!
0000000000000186  tnt.8      !!!!!!
0000000000000187  tnt.8      !.....
0000000000000188  tnt.8      ..!.!!
0000000000000189  tnt.8      !!!.!!
000000000000018a  tnt.8      .
000000000000018c  tip        2: ????????5cb26a00
0000000000000194  tip        2: ????????5cb310c0
0000000000000199  tnt.8      .....!
000000000000019a  tnt.8      !!!!!.
000000000000019b  tnt.8      ..
000000000000019c  tip        2: ????????5cddeda4
00000000000001a1  tnt.8      .!...!
00000000000001a2  tnt.8      !!..!!
00000000000001a3  tnt.8      !!
00000000000001ab  tip        3: 00007ffdaf9cc790
00000000000001b4  tip        2: ????????af2d9500
00000000000001bc  tip        2: ????????b265fa70
00000000000001c1  tnt.8      .
00000000000001c2  tip.pgd    0: ????????????????
00000000000001c4  tip.pge    1: ????????????fa84
00000000000001c7  tip        2: ????????af2d9523
00000000000001cc  tnt.8      .
00000000000001cd  tip        2: ????????af9cc7ab
00000000000001d2  tnt.8      .
00000000000001d3  tip        3: 000000005cb77103
00000000000001dc  tnt.8      !.!
00000000000001dd  tip        2: ????????5cb2c7b9
00000000000001e4  tip        2: ????????5cb92958
00000000000001e9  tnt.8      ..
00000000000001ec  tip        2: ????????5cb45d50
00000000000001f1  tnt.8      ..!...
